Bidder Group,Profile ID,profit_llm,reserve_price_llm
S.1,B1,0,25
S.1,B1,0,0
S.1,B1,36,25
S.1,B1,83,25
S.1,B1,55,25
S.1,B1,0,0
S.1,B1,68,25
S.1,B1,25,25
S.1,B1,25,25
S.1,B1,0,0
S.1,B1,0,0
S.1,B1,44,25
S.1,B1,25,25
S.1,B1,88,25
S.1,B1,37,25
S.1,B1,0,25
S.1,B1,59,25
S.1,B1,66,25
S.1,B1,25,25
S.1,B1,70,25
S.1,B1,0,0
S.1,B1,25,25
S.1,B1,29,25
S.1,B1,41,25
S.1,B1,0,0
S.1,B1,70,25
S.1,B1,83,25
S.1,B1,64,25
S.1,B1,80,25
S.1,B1,83,25
S.1,B1,42,25
S.1,B1,0,0
S.1,B1,0,0
S.1,B1,66,25
S.1,B1,0,0
S.1,B1,64,25
S.1,B1,0,25
S.1,B1,25,25
S.1,B1,0,0
S.1,B1,0,0
S.1,B1,88,25
S.1,B1,36,25
S.1,B1,0,0
S.1,B1,25,25
S.1,B1,59,25
S.1,B1,0,0
S.1,B1,31,25
S.1,B1,36,25
S.1,B1,0,25
S.1,B1,66,25
S.1,B1,0,0
S.1,B1,47,25
S.1,B1,0,25
S.1,B1,47,25
S.1,B1,0,0
S.1,B1,25,25
S.1,B1,49,25
S.1,B1,36,25
S.1,B1,0,0
S.1,B1,57,25
S.2,B2,0,0
S.2,B2,25,25
S.2,B2,0,0
S.2,B2,25,25
S.2,B2,46,25
S.2,B2,64,25
S.2,B2,0,0
S.2,B2,0,0
S.2,B2,0,0
S.2,B2,41,25
S.2,B2,94,25
S.2,B2,0,0
S.2,B2,70,25
S.2,B2,25,25
S.2,B2,0,25
S.2,B2,25,25
S.2,B2,0,0
S.2,B2,0,0
S.2,B2,0,0
S.2,B2,0,0
S.2,B2,39,25
S.2,B2,29,25
S.2,B2,70,25
S.2,B2,0,0
S.2,B2,0,25
S.2,B2,25,25
S.2,B2,42,25
S.2,B2,94,25
S.2,B2,0,0
S.2,B2,73,25
S.2,B2,42,25
S.2,B2,41,25
S.2,B2,25,25
S.2,B2,25,25
S.2,B2,83,25
S.2,B2,0,0
S.2,B2,0,0
S.2,B2,0,0
S.2,B2,25,25
S.2,B2,64,25
S.2,B2,55,25
S.2,B2,0,25
S.2,B2,59,25
S.2,B2,0,0
S.2,B2,25,25
S.2,B2,44,25
S.2,B2,42,25
S.2,B2,0,0
S.2,B2,0,0
S.2,B2,25,25
S.2,B2,26,25
S.2,B2,83,25
S.2,B2,59,25
S.2,B2,0,25
S.2,B2,68,25
S.2,B2,41,25
S.2,B2,0,0
S.2,B2,41,25
S.2,B2,78,25
S.2,B2,55,25
S.3,B3,0,20
S.3,B3,49,25
S.3,B3,64,25
S.3,B3,0,0
S.3,B3,0,0
S.3,B3,0,0
S.3,B3,0,0
S.3,B3,0,20
S.3,B3,0,0
S.3,B3,70,25
S.3,B3,25,25
S.3,B3,91,25
